Unnamed: 0,username,LABEL,processed,user_found,error,user_id,verified,account_age_days,followers_count,following_count,tweet_count_total,follower_following_ratio,tweets_fetched,fraction_retweets,fraction_with_urls,fraction_with_media,avg_tweet_length,avg_sentiment,tweets_per_week,domain_diversity,network_clustering_coefficient,mutual_followers_with_misinfo_spreaders,interaction_with_bots,inferred_political_leaning,personality_big_five,cognitive_reflection_score,avg_exclamation_count,liwc_categories,topic_distribution,image_content_descriptors,image_forensic_signals
91,baba555qaz,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
92,BabesSunflower,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
93,BABYDJLEON,unreliable,True,True,,1363856022.0,False,4371.0,226.0,1387.0,4373.0,0.1629416005767844,98.0,0.4081632653061224,0.4387755102040816,0.3469387755102041,89.58163265306122,0.0632083468307958,0.1569434911919469,0.1162790697674418,,,,,,,,,,,
94,babzilla25,unreliable,True,True,,1564306020.0,False,4296.0,177.0,84.0,8716.0,2.107142857142857,99.0,0.98989898989899,0.2727272727272727,0.1717171717171717,126.06060606060606,0.0427256876120512,0.1613128491620112,0.2222222222222222,,,,,,,,,,,
95,BackapA,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
96,bagocats,unreliable,True,True,,2663686836.0,False,3913.0,44.0,441.0,332.0,0.0997732426303854,92.0,0.6739130434782609,0.5217391304347826,0.358695652173913,86.34782608695652,0.1791254818173975,0.1645796064400715,0.2291666666666666,,,,,,,,,,,
97,BallaVictorious,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BamaTitan34,unreliable,True,True,,175400629.0,False,5357.0,287.0,377.0,10210.0,0.7612732095490716,99.0,0.0303030303030303,0.0,0.0,48.02020202020202,-0.0039141414141414,0.1293634496919918,,,,,,,,,,,,
99,BarbaraShiels2,reliable,True,True,,1.0464478412988416e+18,False,2380.0,2073.0,2819.0,29120.0,0.7353671514721533,100.0,0.6,0.19,0.12,119.81,-0.0195934551559551,0.2941176470588235,0.3157894736842105,,,,,,,,,,,
100,barneyhofman,unreliable,True,True,,847832533.0,False,4575.0,193.0,309.0,15533.0,0.6245954692556634,100.0,1.0,0.43,0.36,118.73,0.0074279513888888,0.1530054644808743,0.1162790697674418,,,,,,,,,,,
101,baronvoncake,unreliable,True,True,,20371544.0,False,5901.0,96.0,251.0,5615.0,0.3824701195219123,97.0,0.7422680412371134,0.268041237113402,0.2268041237113402,111.50515463917526,-0.0077664841840099,0.1150652431791221,0.1538461538461538,,,,,,,,,,,
102,bashyy11,unreliable,True,True,,1360202173.0,False,4372.0,231.0,821.0,4202.0,0.2813641900121802,98.0,0.4285714285714285,0.6530612244897959,0.1326530612244898,100.13265306122447,0.0168974732750242,0.156907593778591,0.046875,,,,,,,,,,,
103,bazzoor,unreliable,True,True,,753447524.0,False,4620.0,99.0,570.0,1381.0,0.1736842105263158,100.0,1.0,0.24,0.21,127.14,0.0366267045454545,0.1515151515151515,0.125,,,,,,,,,,,
104,BBLLRR,unreliable,True,True,,145678932.0,False,5436.0,96.0,584.0,9095.0,0.1643835616438356,100.0,0.99,0.46,0.16,125.29,0.009,0.1287711552612215,0.0652173913043478,,,,,,,,,,,
105,BBQanon,unreliable,True,False,User not found on platform.,,,,,,,,,,,,,,,,,,,,,,,,,,
