fold,feature,drop
1,topic:200,0.020042844116687775
1,topic:90,0.019980506971478462
1,topic:192,0.019869791343808174
1,topic:180,0.01978734042495489
1,topic:4,0.01641303300857544
1,topic:6,0.015733186155557632
1,topic:183,0.015158094465732574
1,topic:26,0.013485272414982319
1,topic:16,0.013392660766839981
1,topic:157,0.010794641450047493
1,topic:137,0.010272444225847721
1,topic:191,0.010079199448227882
1,topic:132,0.009328504092991352
1,topic:74,0.009197095409035683
1,topic:172,0.007732832804322243
1,topic:123,0.007223745342344046
2,topic:37,28.7062930976972
2,topic:70,27.427581540308893
2,topic:185,21.988061216659844
2,topic:129,20.222355493344367
2,topic:146,19.59430111106485
2,topic:111,18.68058777693659
2,topic:171,12.58234275970608
2,topic:141,8.421366728842258
2,topic:199,8.388379662297666
2,topic:163,7.412669226527214
2,topic:1,7.23861738294363
2,topic:92,6.690912661142647
2,topic:113,6.667948915157467
2,topic:15,5.9040233585983515
2,topic:7,5.765981627628207
2,topic:127,5.749690966680646
2,topic:189,5.746665528975427
2,topic:29,5.620650882832706
2,topic:27,5.340564284473658
2,topic:48,4.071678755804896
2,topic:87,4.065471232868731
2,topic:164,3.8618513457477093
2,topic:18,3.8474482595920563
2,topic:153,3.8023297879844904
2,topic:193,3.7447497081011534
2,topic:105,3.6507451720535755
2,topic:195,3.643925106152892
2,topic:40,3.524300066754222
2,topic:39,3.3770561227574944
2,topic:102,3.2979103913530707
2,topic:128,3.2532012946903706
2,topic:135,3.0330039113759995
2,topic:93,2.9817178454250097
2,topic:89,2.9414115883409977
2,topic:91,2.789175907149911
2,topic:75,2.7181242583319545
2,topic:190,2.643950709141791
2,topic:182,2.602496100589633
2,topic:149,2.60105549544096
2,topic:116,2.4798880517482758
2,topic:36,2.465650113299489
2,topic:134,2.211700251325965
2,topic:181,2.096152853220701
2,topic:99,1.956381513737142
2,topic:85,1.9293775483965874
2,topic:184,1.920567773282528
2,topic:62,1.905676294118166
2,topic:103,1.8627129662781954
2,topic:126,1.7851080857217312
2,topic:30,1.6962284296751022
2,topic:56,1.6785874124616385
2,topic:131,1.678229920566082
2,topic:83,1.6672525415197015
2,topic:51,1.546174006536603
2,topic:50,1.5234467405825853
2,topic:109,1.5063255233690143
2,topic:175,1.4703417718410492
2,topic:38,1.4473445760086179
2,topic:34,1.3757240399718285
2,topic:197,1.3028144557029009
2,topic:133,1.260508917272091
2,topic:72,1.2526378203183413
2,topic:28,1.2448980808258057
2,topic:94,1.2100574746727943
2,topic:31,1.2047683857381344
2,topic:142,1.1966410540044308
2,topic:107,1.1606323402374983
2,topic:96,1.1482985578477383
2,topic:176,1.147227380424738
2,topic:198,1.1197422202676535
2,topic:200,1.0674517899751663
2,topic:64,1.0397924315184355
2,topic:156,0.9646608904004097
2,topic:76,0.9553707726299763
2,topic:120,0.9365664646029472
2,topic:16,0.9306734465062618
2,topic:47,0.9135730676352978
2,topic:59,0.9094911105930805
2,topic:20,0.8380482718348503
2,topic:22,0.8288973644375801
2,topic:188,0.8253643549978733
2,topic:144,0.8240469843149185
2,topic:139,0.8143547140061855
2,topic:161,0.7887095101177692
2,topic:79,0.7431527674198151
2,topic:68,0.7304140701889992
2,topic:154,0.7210750076919794
2,topic:159,0.7013417519629002
2,topic:118,0.6881843749433756
2,topic:58,0.680460587143898
2,topic:74,0.5954005867242813
2,topic:119,0.5882018730044365
2,topic:101,0.5394942238926888
